movieId_i,movieId_j,similarity
374.0,1.0,-0.5692099788303082
374,2,0
374,3,0
374,4,0
374,5,0
374,6,0
375,1,0
377.0,1.0,0.9701425001453319
377.0,2.0,-1.0
377,3,0
377,4,0
377,5,0
377.0,6.0,1.0
378,1,0
390,1,0
402,1,0
402,2,0
409.0,1.0,-1.0
417,1,0
421,1,0
425.0,1.0,-1.0
426.0,1.0,1.0
429,1,0
431.0,1.0,1.0
431.0,2.0,0.5547001962252289
432.0,1.0,0.317719207783285
432,2,0
432,3,0
432,4,0
432,5,0
432,6,0
432,7,0
437.0,1.0,-1.0
438.0,1.0,1.0
439,1,0
439,2,0
442,1,0
447,1,0
451.0,1.0,-0.9999999999999999
451,2,0
452,1,0
454.0,1.0,0.9224409883013099
454.0,2.0,-0.9048187022009941
460,1,0
462,1,0
463,1,0
463,2,0
464,1,0
468,1,0
469,1,0
472,1,0
472,2,0
477.0,1.0,-0.19963735237617256
477.0,2.0,-0.07124704998790937
477,3,0
477,4,0
477,5,0
477.0,6.0,-0.07124704998790937
477,7,0
482.0,1.0,1.0
482,2,0
484,1,0
488,1,0
490,1,0
490,2,0
496,1,0
503,1,0
507,1,0
508,1,0
514,1,0
514,2,0
514,3,0
514,4,0
514,5,0
517,1,0
518,1,0
518,2,0
521,1,0
524.0,1.0,-0.3914515810813829
524.0,2.0,0.7071067811865475
526.0,1.0,0.857492925712544
528.0,1.0,-1.0
528,2,0
529.0,1.0,1.0
529,2,0
535,1,0
536.0,1.0,1.0
537,1,0
538,1,0
538,2,0
539.0,1.0,0.8574929257125443
540.0,1.0,-1.0
547,1,0
548.0,1.0,-0.7071067811865475
548,2,0
552.0,1.0,0.17407765595569782
552,2,0
559.0,1.0,-1.0
582,1,0
583.0,1.0,0.3177192077832851
583,2,0
583,3,0
583,4,0
583,5,0
584.0,1.0,0.6267586448165066
585.0,1.0,0.48424799847909306
585,2,0
585,3,0
585,4,0
585,5,0
586.0,1.0,-0.6549370092500068
586.0,2.0,0.6154574548966636
587.0,1.0,1.0
587.0,2.0,-0.7071067811865475
589.0,1.0,0.6813665226677244
589.0,2.0,-0.457495710997814
589,3,0
589,4,0
589,5,0
589,6,0
589,7,0
590.0,1.0,0.9575896820506058
590.0,2.0,1.0
590,3,0
590,4,0
590,5,0
590.0,6.0,1.0
591,1,0
592.0,1.0,0.3265086974575387
592,2,0
592,3,0
592,4,0
592,5,0
592,6,0
593.0,1.0,0.8699002571554414
593,2,0
594.0,1.0,-1.0
605.0,1.0,1.0000000000000002
606,1,0
609,1,0
