,day_of_week,hour,quantities,item_count,food_prep_time_minutes
524,Saturday,17.75,3.0,3,15
525,Monday,18.75,11.0,6,41
526,Thursday,13.75,5.0,3,22
527,Friday,8.75,16.0,10,35
528,Friday,13.75,3.0,2,27
529,Wednesday,9.75,11.0,7,25
530,Wednesday,20.75,9.0,8,24
531,Wednesday,16.75,5.0,4,26
532,Saturday,17.75,16.0,10,42
533,Monday,18.75,5.0,5,15
534,Thursday,0.75,13.0,10,33
535,Friday,20.75,5.0,5,12
536,Sunday,19.75,4.0,4,14
537,Friday,14.75,11.0,6,34
538,Wednesday,20.75,8.0,5,32
539,Thursday,10.75,11.0,7,41
540,Thursday,19.75,10.0,7,45
541,Monday,14.75,3.0,3,14
542,Saturday,19.75,9.0,8,21
543,Monday,23.75,10.0,7,27
544,Friday,12.75,10.0,6,29
545,Wednesday,18.75,14.0,9,30
546,Wednesday,13.75,6.0,3,38
547,Monday,11.75,11.0,7,35
548,Sunday,20.75,9.0,6,37
549,Sunday,17.75,4.0,3,26
550,Saturday,9.75,2.0,2,11
551,Saturday,1.75,1.0,1,4
552,Monday,22.75,8.0,4,24
553,Friday,20.75,20.0,10,49
554,Monday,0.75,6.0,4,16
555,Friday,11.75,14.0,10,24
556,Saturday,1.75,8.0,7,11
557,Thursday,23.75,5.0,4,18
558,Thursday,0.75,6.0,6,11
559,Wednesday,18.75,13.0,8,37
560,Sunday,20.75,7.0,5,36
561,Friday,8.75,9.0,8,14
562,Thursday,12.75,10.0,9,12
563,Friday,19.75,12.0,8,33
564,Wednesday,1.75,2.0,2,12
565,Sunday,22.75,10.0,5,42
566,Wednesday,15.75,8.0,5,22
567,Tuesday,20.75,6.0,5,17
568,Friday,16.75,11.0,5,41
569,Thursday,14.75,9.0,7,37
570,Thursday,18.75,12.0,9,43
571,Thursday,13.75,16.0,8,35
572,Tuesday,12.75,8.0,5,33
573,Friday,9.75,2.0,2,11
574,Wednesday,19.75,6.0,3,42
575,Monday,20.75,11.0,9,27
576,Wednesday,15.75,5.0,4,14
577,Saturday,13.75,10.0,5,39
578,Wednesday,17.75,5.0,4,23
579,Wednesday,15.75,2.0,2,9
580,Sunday,2.75,15.0,10,28
581,Sunday,6.75,12.0,10,18
582,Saturday,12.75,3.0,3,10
583,Wednesday,6.75,10.0,7,38
584,Friday,13.75,2.0,2,12
585,Monday,22.75,9.0,7,24
586,Friday,16.75,4.0,4,10
587,Thursday,19.75,4.0,3,29
588,Tuesday,19.75,11.0,9,39
589,Friday,14.75,13.0,8,28
590,Sunday,23.75,11.0,9,27
591,Friday,13.75,2.0,2,13
592,Friday,20.75,8.0,5,22
593,Saturday,20.75,5.0,3,31
594,Saturday,19.75,16.0,10,45
595,Friday,4.75,5.0,5,10
596,Saturday,20.75,7.0,4,43
597,Thursday,12.75,7.0,5,43
598,Tuesday,18.75,5.0,3,48
599,Sunday,22.75,13.0,10,25
600,Tuesday,16.75,8.0,5,41
601,Thursday,21.75,7.0,4,37
602,Tuesday,19.75,13.0,10,36
603,Friday,18.75,6.0,4,31
604,Friday,14.75,12.0,7,37
605,Friday,20.75,16.0,9,42
606,Monday,22.75,15.0,8,41
607,Tuesday,7.75,10.0,7,34
608,Thursday,13.75,4.0,3,22
609,Wednesday,22.75,2.0,2,15
610,Monday,12.75,3.0,3,13
611,Saturday,18.75,4.0,2,22
612,Sunday,22.75,12.0,10,22
613,Thursday,21.75,10.0,6,39
614,Saturday,11.75,4.0,3,23
615,Friday,15.75,5.0,3,37
616,Thursday,16.75,2.0,2,13
617,Friday,6.75,10.0,7,23
618,Tuesday,20.75,11.0,8,21
619,Friday,10.75,10.0,8,39
620,Wednesday,4.75,16.0,10,29
621,Thursday,12.75,1.0,1,11
622,Thursday,21.75,4.0,4,14
623,Monday,16.75,3.0,3,16
624,Thursday,23.75,14.0,10,40
625,Thursday,16.75,1.0,1,10
626,Tuesday,5.75,5.0,5,11
627,Thursday,23.75,3.0,3,16
628,Thursday,19.75,5.0,4,31
629,Friday,6.75,14.0,10,35
630,Saturday,23.75,4.0,4,13
631,Friday,4.75,9.0,7,14
632,Friday,17.75,7.0,5,40
633,Tuesday,10.75,14.0,10,34
634,Thursday,19.75,9.0,4,49
635,Friday,12.75,9.0,6,27
636,Thursday,18.75,8.0,6,22
637,Thursday,23.75,13.0,9,28
638,Sunday,23.75,12.0,8,34
639,Thursday,21.75,4.0,3,25
640,Tuesday,21.75,8.0,4,44
641,Tuesday,11.75,10.0,8,34
642,Friday,13.75,20.0,10,43
643,Sunday,8.75,21.0,9,40
644,Thursday,13.75,1.0,1,12
645,Monday,8.75,11.0,10,26
646,Wednesday,6.75,6.0,5,16
647,Saturday,20.75,8.0,5,31
648,Saturday,17.75,4.0,4,13
649,Saturday,8.75,12.0,8,27
650,Thursday,6.75,6.0,4,23
651,Wednesday,15.75,7.0,4,25
652,Monday,12.75,5.0,3,31
653,Wednesday,23.75,6.0,6,12
654,Thursday,15.75,5.0,4,28
655,Thursday,17.75,14.0,7,38
656,Friday,11.75,4.0,3,26
657,Thursday,13.75,12.0,7,38
658,Sunday,12.75,15.0,10,24
659,Thursday,2.75,5.0,3,21
660,Saturday,19.75,10.0,9,27
661,Monday,6.75,9.0,6,27
662,Tuesday,13.75,4.0,2,24
663,Monday,12.75,1.0,1,11
664,Tuesday,16.75,1.0,1,14
665,Thursday,12.75,15.0,9,43
666,Tuesday,10.75,12.0,10,19
667,Sunday,12.75,10.0,8,43
668,Wednesday,14.75,11.0,7,24
669,Thursday,19.75,11.0,6,31
670,Saturday,14.75,11.0,7,27
671,Wednesday,18.75,11.0,9,24
672,Wednesday,22.75,5.0,4,28
673,Saturday,18.75,7.0,5,29
674,Wednesday,17.75,13.0,8,36
675,Thursday,22.75,9.0,8,28
676,Saturday,9.75,5.0,5,14
677,Friday,18.75,19.0,10,43
678,Tuesday,22.75,3.0,1,37
679,Thursday,12.75,4.0,2,29
680,Friday,20.75,9.0,7,27
681,Sunday,19.75,9.0,4,27
682,Thursday,19.75,8.0,6,38
683,Saturday,13.75,3.0,2,13
684,Saturday,18.75,5.0,4,16
685,Wednesday,23.75,7.0,5,38
686,Thursday,14.75,8.0,7,16
687,Saturday,18.75,3.0,3,13
688,Sunday,7.75,12.0,9,26
689,Tuesday,12.75,10.0,9,21
690,Wednesday,12.75,11.0,9,34
691,Saturday,20.75,8.0,7,19
692,Thursday,18.75,5.0,3,43
693,Tuesday,6.75,10.0,9,23
694,Wednesday,6.75,2.0,1,19
695,Sunday,21.75,3.0,1,29
696,Monday,14.75,10.0,6,20
697,Monday,18.75,3.0,3,15
698,Friday,18.75,15.0,9,49
699,Thursday,0.75,6.0,3,24
700,Wednesday,18.75,6.0,6,15
701,Saturday,13.75,4.0,2,38
702,Monday,10.75,12.0,7,35
703,Monday,20.75,4.0,2,25
704,Wednesday,13.75,11.0,9,24
705,Wednesday,11.75,11.0,8,17
706,Monday,21.75,10.0,8,24
707,Saturday,19.75,11.0,10,15
708,Wednesday,0.75,1.0,1,10
709,Sunday,18.75,12.0,9,26
710,Thursday,7.75,10.0,8,36
711,Wednesday,12.75,1.0,1,8
712,Wednesday,23.75,6.0,5,24
713,Thursday,16.75,15.0,10,30
714,Friday,12.75,3.0,1,25
715,Tuesday,4.75,6.0,4,13
716,Thursday,18.75,10.0,8,25
717,Friday,8.75,8.0,5,20
718,Wednesday,15.75,6.0,4,24
719,Tuesday,18.75,12.0,10,26
720,Wednesday,18.75,8.0,6,15
721,Saturday,0.75,3.0,2,13
722,Friday,20.75,7.0,5,20
723,Saturday,7.75,11.0,10,15
724,Sunday,15.75,4.0,2,20
725,Tuesday,19.75,8.0,5,42
726,Saturday,12.75,15.0,9,22
727,Wednesday,6.75,10.0,6,38
728,Friday,18.75,15.0,10,39
729,Tuesday,22.75,11.0,9,20
730,Saturday,3.75,2.0,2,11
731,Monday,6.75,4.0,3,9
732,Sunday,14.75,1.0,1,13
